"country","year","gold","silver","bronze","total"
"Albania","1996","0","0","0","0"
"Albania","2000","0","0","0","0"
"Albania","2004","0","0","0","0"
"Albania","2008","0","0","0","0"
"Albania","2012","0","0","0","0"
"Albania","2016","0","0","0","0"
"Albania","2020","0","0","0","0"
"Albania","2024","0","0","2","2"
"Albania","Gesamt","0","0","2","2"
"Andorra","1996","0","0","0","0"
"Andorra","2000","0","0","0","0"
"Andorra","2004","0","0","0","0"
"Andorra","2008","0","0","0","0"
"Andorra","2012","0","0","0","0"
"Andorra","2016","0","0","0","0"
"Andorra","2020","0","0","0","0"
"Andorra","2024","0","0","0","0"
"Andorra","Gesamt","0","0","0","0"
"Armenia","1996","1","1","0","2"
"Armenia","2000","0","0","1","1"
"Armenia","2004","0","0","0","0"
"Armenia","2008","1","1","4","6"
"Armenia","2012","0","1","2","3"
"Armenia","2016","1","3","0","4"
"Armenia","2020","0","2","2","4"
"Armenia","2024","0","3","1","4"
"Armenia","Gesamt","3","11","10","24"
"Austria","1996","0","1","2","3"
"Austria","2000","2","1","0","3"
"Austria","2004","2","4","1","7"
"Austria","2008","0","1","2","3"
"Austria","2012","0","0","0","0"
"Austria","2016","0","0","1","1"
"Austria","2020","1","1","5","7"
"Austria","2024","2","0","3","5"
"Austria","Gesamt","7","8","14","29"
"Azerbaijan","1996","0","1","0","1"
"Azerbaijan","2000","2","0","1","3"
"Azerbaijan","2004","1","0","4","5"
"Azerbaijan","2008","1","1","4","6"
"Azerbaijan","2012","2","2","5","9"
"Azerbaijan","2016","1","7","10","18"
"Azerbaijan","2020","0","3","4","7"
"Azerbaijan","2024","2","2","3","7"
"Azerbaijan","Gesamt","9","16","31","56"
"Belarus","1996","1","6","8","15"
"Belarus","2000","3","3","11","17"
"Belarus","2004","2","5","6","13"
"Belarus","2008","3","4","7","14"
"Belarus","2012","2","5","3","10"
"Belarus","2016","1","4","4","9"
"Belarus","2020","1","3","3","7"
"Belarus","2024","1","3","1","5"
"Belarus","Gesamt","14","33","43","90"
"Belgium","1996","2","2","2","6"
"Belgium","2000","0","2","3","5"
"Belgium","2004","1","0","2","3"
"Belgium","2008","2","0","0","2"
"Belgium","2012","0","1","2","3"
"Belgium","2016","2","2","2","6"
"Belgium","2020","3","1","3","7"
"Belgium","2024","3","1","6","10"
"Belgium","Gesamt","13","9","20","42"
"Bosnia and Herzegovina","1996","0","0","0","0"
"Bosnia and Herzegovina","2000","0","0","0","0"
"Bosnia and Herzegovina","2004","0","0","0","0"
"Bosnia and Herzegovina","2008","0","0","0","0"
"Bosnia and Herzegovina","2012","0","0","0","0"
"Bosnia and Herzegovina","2016","0","0","0","0"
"Bosnia and Herzegovina","2020","0","0","0","0"
"Bosnia and Herzegovina","2024","0","0","0","0"
"Bosnia and Herzegovina","Gesamt","0","0","0","0"
"Bulgaria","1996","3","7","5","15"
"Bulgaria","2000","5","6","2","13"
"Bulgaria","2004","2","1","9","12"
"Bulgaria","2008","1","1","3","5"
"Bulgaria","2012","0","2","1","3"
"Bulgaria","2016","1","1","2","4"
"Bulgaria","2020","3","1","2","6"
"Bulgaria","2024","3","1","3","7"
"Bulgaria","Gesamt","18","20","27","65"
"Croatia","1996","1","1","0","2"
"Croatia","2000","1","0","1","2"
"Croatia","2004","1","2","2","5"
"Croatia","2008","0","2","3","5"
"Croatia","2012","3","1","2","6"
"Croatia","2016","5","3","2","10"
"Croatia","2020","3","3","2","8"
"Croatia","2024","2","2","3","7"
"Croatia","Gesamt","16","14","15","45"
"Cyprus","1996","0","0","0","0"
"Cyprus","2000","0","0","0","0"
"Cyprus","2004","0","0","0","0"
"Cyprus","2008","0","0","0","0"
"Cyprus","2012","0","1","0","1"
"Cyprus","2016","0","0","0","0"
"Cyprus","2020","0","0","0","0"
"Cyprus","2024","0","0","0","0"
"Cyprus","Gesamt","0","1","0","1"
"Czechia","1996","4","3","4","11"
"Czechia","2000","2","3","3","8"
"Czechia","2004","1","3","5","9"
"Czechia","2008","3","3","1","7"
"Czechia","2012","4","4","3","11"
"Czechia","2016","1","2","7","10"
"Czechia","2020","4","4","3","11"
"Czechia","2024","3","0","2","5"
"Czechia","Gesamt","22","22","28","72"
"Denmark","1996","4","1","1","6"
"Denmark","2000","2","3","1","6"
"Denmark","2004","2","1","5","8"
"Denmark","2008","2","2","3","7"
"Denmark","2012","2","4","3","9"
"Denmark","2016","2","6","7","15"
"Denmark","2020","3","4","4","11"
"Denmark","2024","2","2","5","9"
"Denmark","Gesamt","19","23","29","71"
"Estonia","1996","0","0","0","0"
"Estonia","2000","1","0","2","3"
"Estonia","2004","0","1","2","3"
"Estonia","2008","1","1","0","2"
"Estonia","2012","0","1","1","2"
